,kategori
0,R101N
1,R102
2,R102N
3,R103
4,R103N
5,R104
6,R301
7,R301
8,R401A
9,R401B
10,R403B
11,R403B
12,R403B
13,R501A
14,R501B
15,R502A
16,R502B
17,R502B
18,R502B
19,R503
20,R506B1K2
21,R509B2
22,R509B2
23,R511CK4
24,R701CK2
25,R701CK3
26,R701DK2
27,R701DK3
28,R701EK2
29,R701EK3
30,R701FK2
31,R701FK3
32,R701GK2
33,R701GK3
34,R704CK2
35,R704DK2
36,R704EK2
37,R704FK2
38,R704GK2
39,R704HK2
40,R704IK2
41,R805E
42,R805I
43,R901A
44,R901A
45,R901B
46,R1001B1
47,R1001B1
48,R1001B1
49,R1202A
50,R1202B
51,R1202D
52,R1202E
53,R1202F
54,R1202G
55,R1202H
56,R1203A
57,R1210
58,R1211
59,R130307K2
60,R1501BK3
61,R1501BK4
62,R1501BK4
63,R1501BK5
64,R1501BK5
65,R1501BK5
66,R1501BK5
67,R1501BK5
68,R1501BK5
69,R302A
